Year,ktCO2e
2005,100.5
2006,97.2
2007,92.7
2008,92.1
2009,66.7
2010,100.0
2011,28.0
2012,33.7
2013,26.6
2014,40.7
2015,37.1
2016,30.6
2017,23.6
2018,28.2
2019,21.4
2020,21.8
2021,13.3
2022,15.1
2023,20.4
