Year,ktCO2e
2005,194.1
2006,196.2
2007,184.3
2008,187.2
2009,179.3
2010,190.2
2011,176.5
2012,189.7
2013,191.4
2014,163.7
2015,154.0
2016,130.9
2017,133.2
2018,107.3
2019,102.6
2020,98.3
2021,112.0
2022,100.1
2023,96.6
