Year,ktCO2e
2005,335.1
2006,355.0
2007,341.7
2008,348.5
2009,332.2
2010,339.6
2011,316.1
2012,338.1
2013,327.4
2014,277.0
2015,249.9
2016,221.4
2017,169.6
2018,198.0
2019,186.5
2020,158.3
2021,183.6
2022,174.5
2023,150.2
