Year,ktCO2e
2005,337.8
2006,326.7
2007,320.9
2008,299.5
2009,287.0
2010,279.3
2011,269.5
2012,259.1
2013,252.5
2014,250.6
2015,248.5
2016,257.7
2017,260.3
2018,254.3
2019,240.0
2020,202.9
2021,210.0
2022,201.4
2023,191.9
