Year,ktCO2e
2005,624.3
2006,615.4
2007,595.8
2008,599.1
2009,544.0
2010,583.0
2011,513.7
2012,552.9
2013,539.1
2014,452.7
2015,434.6
2016,412.7
2017,386.1
2018,383.0
2019,367.4
2020,361.7
2021,367.9
2022,319.3
